tensor_name,file_offset,size_bytes,layer_id,component_type,n_dims,dim0,dim1,dim2,dim3
output.weight,736160,131072000,-1,Output Projection,2,2048,32000,0,0
token_embd.weight,131808160,131072000,-1,Token Embeddings,2,2048,32000,0,0
blk.0.attn_norm.weight,262880160,8192,0,Attention Norm,1,2048,0,0,0
blk.0.ffn_down.weight,262888352,23068672,0,FFN Down,2,5632,2048,0,0
blk.0.ffn_gate.weight,285957024,23068672,0,FFN Gate,2,2048,5632,0,0
blk.0.ffn_up.weight,309025696,23068672,0,FFN Up,2,2048,5632,0,0
blk.0.ffn_norm.weight,332094368,8192,0,FFN Norm,1,2048,0,0,0
blk.0.attn_k.weight,332102560,1048576,0,Attention K,2,2048,256,0,0
blk.0.attn_output.weight,333151136,8388608,0,Output Projection,2,2048,2048,0,0
blk.0.attn_q.weight,341539744,8388608,0,Attention Q,2,2048,2048,0,0
blk.0.attn_v.weight,349928352,1048576,0,Attention V,2,2048,256,0,0
blk.1.attn_norm.weight,350976928,8192,1,Attention Norm,1,2048,0,0,0
blk.1.ffn_down.weight,350985120,23068672,1,FFN Down,2,5632,2048,0,0
blk.1.ffn_gate.weight,374053792,23068672,1,FFN Gate,2,2048,5632,0,0
blk.1.ffn_up.weight,397122464,23068672,1,FFN Up,2,2048,5632,0,0
blk.1.ffn_norm.weight,420191136,8192,1,FFN Norm,1,2048,0,0,0
blk.1.attn_k.weight,420199328,1048576,1,Attention K,2,2048,256,0,0
blk.1.attn_output.weight,421247904,8388608,1,Output Projection,2,2048,2048,0,0
blk.1.attn_q.weight,429636512,8388608,1,Attention Q,2,2048,2048,0,0
blk.1.attn_v.weight,438025120,1048576,1,Attention V,2,2048,256,0,0
blk.10.attn_norm.weight,439073696,8192,10,Attention Norm,1,2048,0,0,0
blk.10.ffn_down.weight,439081888,23068672,10,FFN Down,2,5632,2048,0,0
blk.10.ffn_gate.weight,462150560,23068672,10,FFN Gate,2,2048,5632,0,0
blk.10.ffn_up.weight,485219232,23068672,10,FFN Up,2,2048,5632,0,0
blk.10.ffn_norm.weight,508287904,8192,10,FFN Norm,1,2048,0,0,0
blk.10.attn_k.weight,508296096,1048576,10,Attention K,2,2048,256,0,0
blk.10.attn_output.weight,509344672,8388608,10,Output Projection,2,2048,2048,0,0
blk.10.attn_q.weight,517733280,8388608,10,Attention Q,2,2048,2048,0,0
blk.10.attn_v.weight,526121888,1048576,10,Attention V,2,2048,256,0,0
blk.11.attn_norm.weight,527170464,8192,11,Attention Norm,1,2048,0,0,0
blk.11.ffn_down.weight,527178656,23068672,11,FFN Down,2,5632,2048,0,0
blk.11.ffn_gate.weight,550247328,23068672,11,FFN Gate,2,2048,5632,0,0
blk.11.ffn_up.weight,573316000,23068672,11,FFN Up,2,2048,5632,0,0
blk.11.ffn_norm.weight,596384672,8192,11,FFN Norm,1,2048,0,0,0
blk.11.attn_k.weight,596392864,1048576,11,Attention K,2,2048,256,0,0
blk.11.attn_output.weight,597441440,8388608,11,Output Projection,2,2048,2048,0,0
blk.11.attn_q.weight,605830048,8388608,11,Attention Q,2,2048,2048,0,0
blk.11.attn_v.weight,614218656,1048576,11,Attention V,2,2048,256,0,0
blk.12.attn_norm.weight,615267232,8192,12,Attention Norm,1,2048,0,0,0
blk.12.ffn_down.weight,615275424,23068672,12,FFN Down,2,5632,2048,0,0
blk.12.ffn_gate.weight,638344096,23068672,12,FFN Gate,2,2048,5632,0,0
blk.12.ffn_up.weight,661412768,23068672,12,FFN Up,2,2048,5632,0,0
blk.12.ffn_norm.weight,684481440,8192,12,FFN Norm,1,2048,0,0,0
blk.12.attn_k.weight,684489632,1048576,12,Attention K,2,2048,256,0,0
blk.12.attn_output.weight,685538208,8388608,12,Output Projection,2,2048,2048,0,0
blk.12.attn_q.weight,693926816,8388608,12,Attention Q,2,2048,2048,0,0
blk.12.attn_v.weight,702315424,1048576,12,Attention V,2,2048,256,0,0
blk.13.attn_norm.weight,703364000,8192,13,Attention Norm,1,2048,0,0,0
blk.13.ffn_down.weight,703372192,23068672,13,FFN Down,2,5632,2048,0,0
blk.13.ffn_gate.weight,726440864,23068672,13,FFN Gate,2,2048,5632,0,0
blk.13.ffn_up.weight,749509536,23068672,13,FFN Up,2,2048,5632,0,0
blk.13.ffn_norm.weight,772578208,8192,13,FFN Norm,1,2048,0,0,0
blk.13.attn_k.weight,772586400,1048576,13,Attention K,2,2048,256,0,0
blk.13.attn_output.weight,773634976,8388608,13,Output Projection,2,2048,2048,0,0
blk.13.attn_q.weight,782023584,8388608,13,Attention Q,2,2048,2048,0,0
blk.13.attn_v.weight,790412192,1048576,13,Attention V,2,2048,256,0,0
blk.14.attn_norm.weight,791460768,8192,14,Attention Norm,1,2048,0,0,0
blk.14.ffn_down.weight,791468960,23068672,14,FFN Down,2,5632,2048,0,0
blk.14.ffn_gate.weight,814537632,23068672,14,FFN Gate,2,2048,5632,0,0
blk.14.ffn_up.weight,837606304,23068672,14,FFN Up,2,2048,5632,0,0
blk.14.ffn_norm.weight,860674976,8192,14,FFN Norm,1,2048,0,0,0
blk.14.attn_k.weight,860683168,1048576,14,Attention K,2,2048,256,0,0
blk.14.attn_output.weight,861731744,8388608,14,Output Projection,2,2048,2048,0,0
blk.14.attn_q.weight,870120352,8388608,14,Attention Q,2,2048,2048,0,0
blk.14.attn_v.weight,878508960,1048576,14,Attention V,2,2048,256,0,0
blk.15.attn_norm.weight,879557536,8192,15,Attention Norm,1,2048,0,0,0
blk.15.ffn_down.weight,879565728,23068672,15,FFN Down,2,5632,2048,0,0
blk.15.ffn_gate.weight,902634400,23068672,15,FFN Gate,2,2048,5632,0,0
blk.15.ffn_up.weight,925703072,23068672,15,FFN Up,2,2048,5632,0,0
blk.15.ffn_norm.weight,948771744,8192,15,FFN Norm,1,2048,0,0,0
blk.15.attn_k.weight,948779936,1048576,15,Attention K,2,2048,256,0,0
blk.15.attn_output.weight,949828512,8388608,15,Output Projection,2,2048,2048,0,0
blk.15.attn_q.weight,958217120,8388608,15,Attention Q,2,2048,2048,0,0
blk.15.attn_v.weight,966605728,1048576,15,Attention V,2,2048,256,0,0
blk.16.attn_norm.weight,967654304,8192,16,Attention Norm,1,2048,0,0,0
blk.16.ffn_down.weight,967662496,23068672,16,FFN Down,2,5632,2048,0,0
blk.16.ffn_gate.weight,990731168,23068672,16,FFN Gate,2,2048,5632,0,0
blk.16.ffn_up.weight,1013799840,23068672,16,FFN Up,2,2048,5632,0,0
blk.16.ffn_norm.weight,1036868512,8192,16,FFN Norm,1,2048,0,0,0
blk.16.attn_k.weight,1036876704,1048576,16,Attention K,2,2048,256,0,0
blk.16.attn_output.weight,1037925280,8388608,16,Output Projection,2,2048,2048,0,0
blk.16.attn_q.weight,1046313888,8388608,16,Attention Q,2,2048,2048,0,0
blk.16.attn_v.weight,1054702496,1048576,16,Attention V,2,2048,256,0,0
blk.17.attn_norm.weight,1055751072,8192,17,Attention Norm,1,2048,0,0,0
blk.17.ffn_down.weight,1055759264,23068672,17,FFN Down,2,5632,2048,0,0
blk.17.ffn_gate.weight,1078827936,23068672,17,FFN Gate,2,2048,5632,0,0
blk.17.ffn_up.weight,1101896608,23068672,17,FFN Up,2,2048,5632,0,0
blk.17.ffn_norm.weight,1124965280,8192,17,FFN Norm,1,2048,0,0,0
blk.17.attn_k.weight,1124973472,1048576,17,Attention K,2,2048,256,0,0
blk.17.attn_output.weight,1126022048,8388608,17,Output Projection,2,2048,2048,0,0
blk.17.attn_q.weight,1134410656,8388608,17,Attention Q,2,2048,2048,0,0
blk.17.attn_v.weight,1142799264,1048576,17,Attention V,2,2048,256,0,0
blk.18.attn_norm.weight,1143847840,8192,18,Attention Norm,1,2048,0,0,0
blk.18.ffn_down.weight,1143856032,23068672,18,FFN Down,2,5632,2048,0,0
blk.18.ffn_gate.weight,1166924704,23068672,18,FFN Gate,2,2048,5632,0,0
blk.18.ffn_up.weight,1189993376,23068672,18,FFN Up,2,2048,5632,0,0
blk.18.ffn_norm.weight,1213062048,8192,18,FFN Norm,1,2048,0,0,0
blk.18.attn_k.weight,1213070240,1048576,18,Attention K,2,2048,256,0,0
blk.18.attn_output.weight,1214118816,8388608,18,Output Projection,2,2048,2048,0,0
blk.18.attn_q.weight,1222507424,8388608,18,Attention Q,2,2048,2048,0,0
blk.18.attn_v.weight,1230896032,1048576,18,Attention V,2,2048,256,0,0
blk.19.attn_norm.weight,1231944608,8192,19,Attention Norm,1,2048,0,0,0
blk.19.ffn_down.weight,1231952800,23068672,19,FFN Down,2,5632,2048,0,0
blk.19.ffn_gate.weight,1255021472,23068672,19,FFN Gate,2,2048,5632,0,0
blk.19.ffn_up.weight,1278090144,23068672,19,FFN Up,2,2048,5632,0,0
blk.19.ffn_norm.weight,1301158816,8192,19,FFN Norm,1,2048,0,0,0
blk.19.attn_k.weight,1301167008,1048576,19,Attention K,2,2048,256,0,0
blk.19.attn_output.weight,1302215584,8388608,19,Output Projection,2,2048,2048,0,0
blk.19.attn_q.weight,1310604192,8388608,19,Attention Q,2,2048,2048,0,0
blk.19.attn_v.weight,1318992800,1048576,19,Attention V,2,2048,256,0,0
blk.2.attn_norm.weight,1320041376,8192,2,Attention Norm,1,2048,0,0,0
blk.2.ffn_down.weight,1320049568,23068672,2,FFN Down,2,5632,2048,0,0
blk.2.ffn_gate.weight,1343118240,23068672,2,FFN Gate,2,2048,5632,0,0
blk.2.ffn_up.weight,1366186912,23068672,2,FFN Up,2,2048,5632,0,0
blk.2.ffn_norm.weight,1389255584,8192,2,FFN Norm,1,2048,0,0,0
blk.2.attn_k.weight,1389263776,1048576,2,Attention K,2,2048,256,0,0
blk.2.attn_output.weight,1390312352,8388608,2,Output Projection,2,2048,2048,0,0
blk.2.attn_q.weight,1398700960,8388608,2,Attention Q,2,2048,2048,0,0
blk.2.attn_v.weight,1407089568,1048576,2,Attention V,2,2048,256,0,0
blk.20.attn_norm.weight,1408138144,8192,20,Attention Norm,1,2048,0,0,0
blk.20.ffn_down.weight,1408146336,23068672,20,FFN Down,2,5632,2048,0,0
blk.20.ffn_gate.weight,1431215008,23068672,20,FFN Gate,2,2048,5632,0,0
blk.20.ffn_up.weight,1454283680,23068672,20,FFN Up,2,2048,5632,0,0
blk.20.ffn_norm.weight,1477352352,8192,20,FFN Norm,1,2048,0,0,0
blk.20.attn_k.weight,1477360544,1048576,20,Attention K,2,2048,256,0,0
blk.20.attn_output.weight,1478409120,8388608,20,Output Projection,2,2048,2048,0,0
blk.20.attn_q.weight,1486797728,8388608,20,Attention Q,2,2048,2048,0,0
blk.20.attn_v.weight,1495186336,1048576,20,Attention V,2,2048,256,0,0
blk.21.attn_norm.weight,1496234912,8192,21,Attention Norm,1,2048,0,0,0
blk.21.ffn_down.weight,1496243104,23068672,21,FFN Down,2,5632,2048,0,0
blk.21.ffn_gate.weight,1519311776,23068672,21,FFN Gate,2,2048,5632,0,0
blk.21.ffn_up.weight,1542380448,23068672,21,FFN Up,2,2048,5632,0,0
blk.21.ffn_norm.weight,1565449120,8192,21,FFN Norm,1,2048,0,0,0
blk.21.attn_k.weight,1565457312,1048576,21,Attention K,2,2048,256,0,0
blk.21.attn_output.weight,1566505888,8388608,21,Output Projection,2,2048,2048,0,0
blk.21.attn_q.weight,1574894496,8388608,21,Attention Q,2,2048,2048,0,0
blk.21.attn_v.weight,1583283104,1048576,21,Attention V,2,2048,256,0,0
blk.3.attn_norm.weight,1584331680,8192,3,Attention Norm,1,2048,0,0,0
blk.3.ffn_down.weight,1584339872,23068672,3,FFN Down,2,5632,2048,0,0
blk.3.ffn_gate.weight,1607408544,23068672,3,FFN Gate,2,2048,5632,0,0
blk.3.ffn_up.weight,1630477216,23068672,3,FFN Up,2,2048,5632,0,0
blk.3.ffn_norm.weight,1653545888,8192,3,FFN Norm,1,2048,0,0,0
blk.3.attn_k.weight,1653554080,1048576,3,Attention K,2,2048,256,0,0
blk.3.attn_output.weight,1654602656,8388608,3,Output Projection,2,2048,2048,0,0
blk.3.attn_q.weight,1662991264,8388608,3,Attention Q,2,2048,2048,0,0
blk.3.attn_v.weight,1671379872,1048576,3,Attention V,2,2048,256,0,0
blk.4.attn_norm.weight,1672428448,8192,4,Attention Norm,1,2048,0,0,0
blk.4.ffn_down.weight,1672436640,23068672,4,FFN Down,2,5632,2048,0,0
blk.4.ffn_gate.weight,1695505312,23068672,4,FFN Gate,2,2048,5632,0,0
blk.4.ffn_up.weight,1718573984,23068672,4,FFN Up,2,2048,5632,0,0
blk.4.ffn_norm.weight,1741642656,8192,4,FFN Norm,1,2048,0,0,0
blk.4.attn_k.weight,1741650848,1048576,4,Attention K,2,2048,256,0,0
blk.4.attn_output.weight,1742699424,8388608,4,Output Projection,2,2048,2048,0,0
blk.4.attn_q.weight,1751088032,8388608,4,Attention Q,2,2048,2048,0,0
blk.4.attn_v.weight,1759476640,1048576,4,Attention V,2,2048,256,0,0
blk.5.attn_norm.weight,1760525216,8192,5,Attention Norm,1,2048,0,0,0
blk.5.ffn_down.weight,1760533408,23068672,5,FFN Down,2,5632,2048,0,0
blk.5.ffn_gate.weight,1783602080,23068672,5,FFN Gate,2,2048,5632,0,0
blk.5.ffn_up.weight,1806670752,23068672,5,FFN Up,2,2048,5632,0,0
blk.5.ffn_norm.weight,1829739424,8192,5,FFN Norm,1,2048,0,0,0
blk.5.attn_k.weight,1829747616,1048576,5,Attention K,2,2048,256,0,0
blk.5.attn_output.weight,1830796192,8388608,5,Output Projection,2,2048,2048,0,0
blk.5.attn_q.weight,1839184800,8388608,5,Attention Q,2,2048,2048,0,0
blk.5.attn_v.weight,1847573408,1048576,5,Attention V,2,2048,256,0,0
blk.6.attn_norm.weight,1848621984,8192,6,Attention Norm,1,2048,0,0,0
blk.6.ffn_down.weight,1848630176,23068672,6,FFN Down,2,5632,2048,0,0
blk.6.ffn_gate.weight,1871698848,23068672,6,FFN Gate,2,2048,5632,0,0
blk.6.ffn_up.weight,1894767520,23068672,6,FFN Up,2,2048,5632,0,0
blk.6.ffn_norm.weight,1917836192,8192,6,FFN Norm,1,2048,0,0,0
blk.6.attn_k.weight,1917844384,1048576,6,Attention K,2,2048,256,0,0
blk.6.attn_output.weight,1918892960,8388608,6,Output Projection,2,2048,2048,0,0
blk.6.attn_q.weight,1927281568,8388608,6,Attention Q,2,2048,2048,0,0
blk.6.attn_v.weight,1935670176,1048576,6,Attention V,2,2048,256,0,0
blk.7.attn_norm.weight,1936718752,8192,7,Attention Norm,1,2048,0,0,0
blk.7.ffn_down.weight,1936726944,23068672,7,FFN Down,2,5632,2048,0,0
blk.7.ffn_gate.weight,1959795616,23068672,7,FFN Gate,2,2048,5632,0,0
blk.7.ffn_up.weight,1982864288,23068672,7,FFN Up,2,2048,5632,0,0
blk.7.ffn_norm.weight,2005932960,8192,7,FFN Norm,1,2048,0,0,0
blk.7.attn_k.weight,2005941152,1048576,7,Attention K,2,2048,256,0,0
blk.7.attn_output.weight,2006989728,8388608,7,Output Projection,2,2048,2048,0,0
blk.7.attn_q.weight,2015378336,8388608,7,Attention Q,2,2048,2048,0,0
blk.7.attn_v.weight,2023766944,1048576,7,Attention V,2,2048,256,0,0
blk.8.attn_norm.weight,2024815520,8192,8,Attention Norm,1,2048,0,0,0
blk.8.ffn_down.weight,2024823712,23068672,8,FFN Down,2,5632,2048,0,0
blk.8.ffn_gate.weight,2047892384,23068672,8,FFN Gate,2,2048,5632,0,0
blk.8.ffn_up.weight,2070961056,23068672,8,FFN Up,2,2048,5632,0,0
blk.8.ffn_norm.weight,2094029728,8192,8,FFN Norm,1,2048,0,0,0
blk.8.attn_k.weight,2094037920,1048576,8,Attention K,2,2048,256,0,0
blk.8.attn_output.weight,2095086496,8388608,8,Output Projection,2,2048,2048,0,0
blk.8.attn_q.weight,2103475104,8388608,8,Attention Q,2,2048,2048,0,0
blk.8.attn_v.weight,2111863712,1048576,8,Attention V,2,2048,256,0,0
blk.9.attn_norm.weight,2112912288,8192,9,Attention Norm,1,2048,0,0,0
blk.9.ffn_down.weight,2112920480,23068672,9,FFN Down,2,5632,2048,0,0
blk.9.ffn_gate.weight,2135989152,23068672,9,FFN Gate,2,2048,5632,0,0
blk.9.ffn_up.weight,2159057824,23068672,9,FFN Up,2,2048,5632,0,0
blk.9.ffn_norm.weight,2182126496,8192,9,FFN Norm,1,2048,0,0,0
blk.9.attn_k.weight,2182134688,1048576,9,Attention K,2,2048,256,0,0
blk.9.attn_output.weight,2183183264,8388608,9,Output Projection,2,2048,2048,0,0
blk.9.attn_q.weight,2191571872,8388608,9,Attention Q,2,2048,2048,0,0
blk.9.attn_v.weight,2199960480,1048576,9,Attention V,2,2048,256,0,0
output_norm.weight,2201009056,8192,-1,Output Projection,1,2048,0,0,0
