tensor_name,file_offset,size_bytes,layer_id,component_type,n_dims,dim0,dim1,dim2,dim3
output.weight,0,262144000,-1,Output Projection,2,2048,32000,0,0
token_embd.weight,53760000,262144000,-1,Token Embeddings,2,2048,32000,0,0
blk.0.attn_norm.weight,90624000,8192,0,Attention Norm,1,2048,0,0,0
blk.0.ffn_down.weight,90632192,46137344,0,FFN Down,2,5632,2048,0,0
blk.0.ffn_gate.weight,100093952,46137344,0,FFN Gate,2,2048,5632,0,0
blk.0.ffn_up.weight,106582016,46137344,0,FFN Up,2,2048,5632,0,0
blk.0.ffn_norm.weight,113070080,8192,0,FFN Norm,1,2048,0,0,0
blk.0.attn_k.weight,113078272,2097152,0,Attention K,2,2048,256,0,0
blk.0.attn_output.weight,113373184,16777216,0,Output Projection,2,2048,2048,0,0
blk.0.attn_q.weight,115732480,16777216,0,Attention Q,2,2048,2048,0,0
blk.0.attn_v.weight,118091776,2097152,0,Attention V,2,2048,256,0,0
blk.1.attn_norm.weight,118521856,8192,1,Attention Norm,1,2048,0,0,0
blk.1.ffn_down.weight,118530048,46137344,1,FFN Down,2,5632,2048,0,0
blk.1.ffn_gate.weight,127991808,46137344,1,FFN Gate,2,2048,5632,0,0
blk.1.ffn_up.weight,134479872,46137344,1,FFN Up,2,2048,5632,0,0
blk.1.ffn_norm.weight,140967936,8192,1,FFN Norm,1,2048,0,0,0
blk.1.attn_k.weight,140976128,2097152,1,Attention K,2,2048,256,0,0
blk.1.attn_output.weight,141271040,16777216,1,Output Projection,2,2048,2048,0,0
blk.1.attn_q.weight,143630336,16777216,1,Attention Q,2,2048,2048,0,0
blk.1.attn_v.weight,145989632,2097152,1,Attention V,2,2048,256,0,0
blk.10.attn_norm.weight,146419712,8192,10,Attention Norm,1,2048,0,0,0
blk.10.ffn_down.weight,146427904,46137344,10,FFN Down,2,5632,2048,0,0
blk.10.ffn_gate.weight,152915968,46137344,10,FFN Gate,2,2048,5632,0,0
blk.10.ffn_up.weight,159404032,46137344,10,FFN Up,2,2048,5632,0,0
blk.10.ffn_norm.weight,165892096,8192,10,FFN Norm,1,2048,0,0,0
blk.10.attn_k.weight,165900288,2097152,10,Attention K,2,2048,256,0,0
blk.10.attn_output.weight,166195200,16777216,10,Output Projection,2,2048,2048,0,0
blk.10.attn_q.weight,168554496,16777216,10,Attention Q,2,2048,2048,0,0
blk.10.attn_v.weight,170913792,2097152,10,Attention V,2,2048,256,0,0
blk.11.attn_norm.weight,171208704,8192,11,Attention Norm,1,2048,0,0,0
blk.11.ffn_down.weight,171216896,46137344,11,FFN Down,2,5632,2048,0,0
blk.11.ffn_gate.weight,177704960,46137344,11,FFN Gate,2,2048,5632,0,0
blk.11.ffn_up.weight,184193024,46137344,11,FFN Up,2,2048,5632,0,0
blk.11.ffn_norm.weight,190681088,8192,11,FFN Norm,1,2048,0,0,0
blk.11.attn_k.weight,190689280,2097152,11,Attention K,2,2048,256,0,0
blk.11.attn_output.weight,190984192,16777216,11,Output Projection,2,2048,2048,0,0
blk.11.attn_q.weight,193343488,16777216,11,Attention Q,2,2048,2048,0,0
blk.11.attn_v.weight,195702784,2097152,11,Attention V,2,2048,256,0,0
blk.12.attn_norm.weight,195997696,8192,12,Attention Norm,1,2048,0,0,0
blk.12.ffn_down.weight,196005888,46137344,12,FFN Down,2,5632,2048,0,0
blk.12.ffn_gate.weight,205467648,46137344,12,FFN Gate,2,2048,5632,0,0
